FID,Field1,Field2,Field3
296,325793.733300000021700,98295.352799999993294,3.319300000000000
374,325800.905299999983981,98297.769899999999325,3.301000000000000
375,325802.319599999987986,98303.661699999996927,3.200400000000000
417,325803.273600000014994,98294.767600000006496,2.968800000000000
418,325805.318800000008196,98300.689899999997579,2.871200000000000
473,325808.638099999981932,98293.472200000003795,2.859000000000000
483,325807.592599999974482,98318.481100000004517,0.609600000000000
583,325814.545099999988452,98279.554999999993015,2.508500000000000
594,325812.179899999988265,98308.093500000002678,0.530400000000000
602,325814.606099999975413,98322.726999999998952,0.539500000000000
654,325815.517400000011548,98312.647200000006706,0.548600000000000
665,325816.008199999982025,98331.261400000003050,0.509000000000000
693,325820.348500000021886,98267.515400000003865,2.350000000000000
751,325822.149900000018533,98310.245399999999790,0.539500000000000
764,325820.732599999988452,98335.376199999998789,0.521200000000000
816,325823.844600000011269,98316.003100000001723,0.560800000000000
817,325826.337799999979325,98319.566200000001118,0.539500000000000
829,325826.679200000013225,98339.235000000000582,0.539500000000000
863,325828.163600000028964,98278.524799999999232,0.399300000000000
948,325833.211100000014994,98255.283699999999953,1.841000000000000
953,325833.153200000000652,98270.633499999996275,0.630900000000000
957,325833.543300000019372,98279.774499999999534,0.509000000000000
1051,325839.681999999971595,98283.593599999992875,0.390100000000000
1082,325843.851699999999255,98254.183399999994435,2.420100000000000
1211,325855.711499999975786,98254.326700000005076,2.161000000000000
1245,325859.497099999978673,98267.561100000006263,1.350300000000000
1248,325859.009399999980815,98275.534700000003795,0.570000000000000
1294,325865.593099999998230,98255.625100000004750,1.420400000000000
