OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
1,1352,34675,319928.080299999564886,100720.206299999728799,-0.158333416664391
2,667,34696,319928.141200000420213,100720.288599999621511,-0.240682333329460
3,105,20543,319928.366799999959767,100720.532400000840425,-0.310892166657140
4,56,19929,319927.790699999779463,100720.822000000625849,-0.100590749992989
5,56,19929,319927.915699999779463,100721.175499999895692,-0.170800583320670
6,56,19929,319929.083100000396371,100721.303600000217557,-0.329264833329944
7,327,34657,319929.317800000309944,100721.745500000193715,-0.170800583320670
8,105,20543,319926.714800000190735,100721.815600000321865,-0.070078999997349
9,327,34657,319928.214399999938905,100721.827800000086427,-0.210498666667263
10,667,34696,319929.674399999901652,100721.891799999400973,-0.158333416664391
11,105,20543,319927.714499999769032,100721.910099999979138,-0.140288833325030
12,327,34657,319927.144500000402331,100721.913200000301003,-0.158333416664391
13,667,34696,319928.601499999873340,100721.974099999293685,-0.140288833325030
14,327,34657,319930.411999999545515,100722.013699999079108,-0.280380416661501
15,105,20543,319928.711199999786913,100722.016799999400973,-0.131102499988629
16,667,34696,319927.531600000336766,100722.059499999508262,-0.149475166661432
17,327,34657,319929.491499999538064,100722.080800000578165,-0.170800583320670
18,105,20543,319929.671299999579787,100722.123500000685453,-0.091404416656587
19,667,34696,319926.480100000277162,100722.141799999400973,-0.091404416656587
20,327,34657,319928.519199999980628,100722.153899999335408,-0.188845166660030
21,667,34696,319930.229100000113249,100722.163100000470877,-0.170800583320670
22,105,20543,319926.717799999751151,100722.175300000235438,-0.131102499988629
23,327,34657,319927.589499999769032,100722.230100000277162,-0.149475166661432
24,667,34696,319929.287299999967217,100722.236199999228120,-0.149475166661432
25,105,20543,319927.876099999994040,100722.285000000149012,-0.170800583320670
26,327,34657,319926.647699999623001,100722.294199999421835,-0.109777083329391
27,667,34696,319928.336299999617040,100722.312400000169873,-0.131102499988629
28,667,34696,319927.394500000402331,100722.385600000619888,-0.131102499988629
29,105,20543,319929.006900000385940,100722.400800000876188,-0.210498666667263
30,667,34696,319926.443500000052154,100722.461799999698997,-0.118963416665792
31,71,19957,319926.565399999730289,100722.461799999698997,-0.109777083329391
32,105,20543,319930.113300000317395,100722.519700000062585,-0.118963416665792
33,71,19957,319927.531600000336766,100722.577600000426173,-0.060892666660948
34,71,19957,319928.549700000323355,100722.684299999848008,-0.179986916657072
35,71,19957,319929.509800000116229,100722.800100000575185,-0.100590749992989
36,71,19957,319926.327700000256300,100722.839700000360608,-0.109777083329391
37,71,19957,319927.467600000090897,100722.967800000682473,-0.131102499988629
38,71,19957,319928.604500000365078,100723.095799999311566,-0.188845166660030
39,71,19957,319929.741399999707937,100723.214700000360608,-0.240682333329460
40,71,19957,319930.890499999746680,100723.342700000852346,-0.350590249989182
41,327,34657,319931.890300000086427,100723.467599999159575,-0.149475166661432
42,327,34657,319930.808199999853969,100723.549900000914931,-0.158333416664391
43,667,34696,319936.529299999587238,100723.552999999374151,-0.140288833325030
44,71,19957,319936.416600000113249,100723.583499999716878,-0.329264833329944
45,667,34696,319931.905500000342727,100723.619999999180436,-0.240682333329460
46,327,34657,319929.695700000040233,100723.632200000807643,-0.179986916657072
47,667,34696,319930.835699999704957,100723.702299999073148,-0.188845166660030
48,327,34657,319928.604500000365078,100723.714500000700355,-0.158333416664391
49,327,34657,319932.024400000460446,100723.760199999436736,-0.320078499993542
50,667,34696,319929.753600000403821,100723.784600000828505,-0.170800583320670
51,105,20543,319926.382500000298023,100723.799900000914931,0.368896500003757
52,327,34657,319927.543800000101328,100723.799900000914931,-0.091404416656587
53,327,34657,319931.134399999864399,100723.827299999073148,-0.131102499988629
54,71,19957,319935.383299999870360,100723.854699999094009,-0.320078499993542
55,327,34657,319926.611100000329316,100723.863900000229478,0.508988083340228
56,667,34696,319928.680700000375509,100723.876099999994040,-0.179986916657072
57,105,20543,319927.452399999834597,100723.888299999758601,0.060826250002719
58,327,34657,319930.162100000306964,100723.900499999523163,-0.170800583320670
59,327,34657,319925.599200000055134,100723.937000000849366,0.771126666673808
60,667,34696,319931.701299999840558,100723.937000000849366,-0.179986916657072
61,667,34696,319927.610899999737740,100723.958399999886751,-0.118963416665792
62,71,19957,319936.480600000359118,100723.973600000143051,-0.249868666665861
63,327,34657,319929.220200000330806,100723.976700000464916,-0.140288833325030
64,105,20543,319928.479600000195205,100723.982799999415874,-0.109777083329391
65,667,34696,319926.730000000447035,100724.004100000485778,0.521127166677616
66,667,34696,319930.729000000283122,100724.010199999436736,-0.201312333330861
67,327,34657,319928.290599999949336,100724.040699999779463,-0.118963416665792
68,667,34696,319925.739400000311434,100724.068099999800324,0.829197416678653
69,105,20543,319929.488499999977648,100724.080299999564886,-0.149475166661432
70,667,34696,319929.808500000275671,100724.086400000378489,-0.131102499988629
71,327,34657,319927.366999999620020,100724.104699999094009,-0.021522666662349
72,667,34696,319928.857499999925494,100724.159499999135733,-0.109777083329391
73,327,34657,319926.537999999709427,100724.171700000762939,0.429591916676145
74,105,20543,319930.436400000005960,100724.187000000849366,-0.060892666660948
75,105,20543,319925.846099999733269,100724.189999999478459,0.508988083340228
76,667,34696,319927.936999999918044,100724.223500000312924,-0.021522666662349
77,327,34657,319925.705900000408292,100724.229599999263883,0.820011083342251
78,667,34696,319927.083599999547005,100724.281500000506639,0.399080166665954
79,105,20543,319931.445299999788404,100724.290599999949336,-0.179986916657072
80,105,20543,319927.034799999557436,100724.299699999392033,0.280314000003273
81,667,34696,319926.123499999754131,100724.354599999263883,0.359710166667355
82,71,19957,319925.724200000055134,100724.379000000655651,0.600523333341698
83,105,20543,319928.272300000302494,100724.400299999862909,-0.100590749992989
84,667,34696,319925.282200000248849,100724.412499999627471,0.700916833346128
85,71,19957,319926.742200000211596,100724.485700000077486,0.451245416668826
