OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
292,3500,1,320453.641900000162423,100970.654799999669194,0.420599999997648
293,3500,1,320454.522800000384450,100970.581700000911951,0.320000000006985
294,3500,1,320455.415799999609590,100970.505499999970198,0.249899999995250
295,3500,1,320456.317999999970198,100970.429300000891089,0.359700000000885
296,3500,1,320457.208100000396371,100970.365299999713898,0.600500000000466
297,3500,1,320458.088899999856949,100970.289100000634789,0.271299999993062
298,3500,1,320458.991100000217557,100970.212899999693036,0.731499999994412
458,3500,1,320458.354100000113249,100969.341099999845028,0.640100000004168
459,3500,1,320457.424499999731779,100969.417300000786781,0.240799999999581
460,3500,1,320456.513100000098348,100969.493499999865890,0.201199999995879
461,3500,1,320455.601800000295043,100969.566700000315905,0.228600000002189
462,3500,1,320454.678199999965727,100969.633799999952316,0.289600000003702
463,3500,1,320453.779099999926984,100969.706900000572205,0.618700000006356
464,3500,1,320452.855499999597669,100969.783099999651313,0.630900000003749
465,3500,1,320451.944199999794364,100969.859300000593066,0.579100000002654
466,3500,1,320451.023599999956787,100969.932499999180436,0.609599999996135
467,3500,1,320450.112300000153482,100970.008700000122190,0.819900000002235
468,3500,1,320449.191800000146031,100970.084899999201298,0.829100000002654
469,3500,1,320448.280399999581277,100970.157999999821186,0.960099999996601
470,3500,1,320447.369099999777973,100970.234200000762939,0.789399999994203
471,3500,1,320446.427299999631941,100970.310399999842048,0.771099999998114
472,3500,1,320445.515899999998510,100970.383600000292063,0.981499999994412
473,3500,1,320444.583200000226498,100970.459799999371171,0.490699999994831
474,3500,1,320443.662700000219047,100970.536000000312924,0.469400000001770
475,3500,1,320442.751400000415742,100970.609099999070168,0.929600000003120
476,3500,1,320441.870500000193715,100970.685300000011921,2.301200000001700
477,3500,1,320433.198900000192225,100970.685300000011921,9.579899999996996
478,3500,1,320432.936800000257790,100970.691400000825524,2.301200000001700
479,3500,1,320434.079800000414252,100970.609099999070168,9.269000000000233
480,3500,1,320433.829900000244379,100970.615199999883771,2.279899999994086
481,3500,1,320434.960699999704957,100970.532899999991059,8.900200000003679
482,3500,1,320434.732099999673665,100970.539000000804663,2.319499999997788
483,3500,1,320435.862900000065565,100970.468900000676513,9.259799999999814
484,3500,1,320435.612900000065565,100970.462799999862909,2.121400000003632
485,3500,1,320436.762000000104308,100970.392699999734759,9.680500000002212
486,3500,1,320437.645899999886751,100970.316500000655651,9.229399999996531
487,3500,1,320438.505499999970198,100970.240299999713898,8.601500000004307
488,3500,1,320438.365299999713898,100970.249500000849366,4.331200000000536
489,3500,1,320439.386400000192225,100970.176300000399351,8.281400000007125
490,3500,1,320439.258399999700487,100970.173299999907613,4.358600000006845
491,3500,1,320440.248999999836087,100970.100099999457598,7.190199999997276
492,3500,1,320440.108699999749660,100970.097100000828505,2.968800000002375
493,3500,1,320441.010999999940395,100970.020899999886751,3.078500000003260
494,3500,1,320441.891800000332296,100969.956800000742078,3.099799999996321
495,3500,1,320442.763600000180304,100969.880599999800324,2.218900000007125
496,3500,1,320443.613900000229478,100969.804400000721216,0.810800000006566
497,3500,1,320444.494800000451505,100969.728199999779463,0.478499999997439
498,3500,1,320445.396999999880791,100969.661199999973178,0.701000000000931
499,3500,1,320446.277900000102818,100969.587999999523163,0.411500000001979
500,3500,1,320447.189299999736249,100969.511800000444055,0.618700000006356
501,3500,1,320448.082299999892712,100969.435599999502301,0.661399999997229
502,3500,1,320448.981499999761581,100969.359400000423193,0.880900000003749
503,3500,1,320449.874599999748170,100969.286299999803305,0.798599999994622
504,3500,1,320450.764600000344217,100969.219200000166893,0.670599999997648
505,3500,1,320451.657599999569356,100969.142999999225140,0.390100000004168
